Sample ID,Age (Ma),meter,formation,d13c,d81o,d13corg,D13C,toc,age,stage,age20
2412,470.42,0.0,Rockdale Run,-2.06,-6.99,-30.96,28.9,0.035,470.42,Floian,471.58
2413,470.34,2.0,Rockdale Run,-1.82,-6.53,,,,470.34,Floian,471.52
2414,470.26,4.0,Rockdale Run,-2.67,-4.74,,,,470.26,Floian,471.46
2416,470.1,8.0,Rockdale Run,-4.91,-8.06,,,,470.1,Floian,471.34
2419,469.86,14.0,Rockdale Run,-3.58,-7.81,,,,469.86,Dapingian,471.16
2420,469.78,16.0,Rockdale Run,-4.45,-8.33,,,,469.78,Dapingian,471.11
2422,469.62,20.0,Rockdale Run,-3.52,0.01,,,,469.62,Dapingian,471.0
2425,469.39,26.0,Rockdale Run,-1.92,-8.32,,,,469.39,Dapingian,470.84
2426,469.31,28.0,Rockdale Run,-3.52,-8.31,,,,469.31,Dapingian,470.79
2427,469.23,30.0,Rockdale Run,-2.57,-8.71,-30.84,28.27,0.13,469.23,Dapingian,470.74
2429,469.07,34.0,Rockdale Run,-2.35,-9.88,,,,469.07,Dapingian,470.63
2431,468.91,38.0,Rockdale Run,-2.47,-4.94,,,,468.91,Dapingian,470.52
2432,468.83,40.0,Rockdale Run,-2.83,-5.85,,,,468.83,Dapingian,470.46
2433,468.75,42.0,Rockdale Run,-2.99,-4.58,,,,468.75,Dapingian,470.41
2434,468.67,44.0,Rockdale Run,-2.7,-5.09,,,,468.67,Dapingian,470.35
2435,468.59,46.0,Rockdale Run,-1.5,-4.74,,,,468.59,Dapingian,470.3
2437,468.51,48.0,Rockdale Run,-1.49,-4.86,,,,468.51,Dapingian,470.24
2440,468.27,54.0,Rockdale Run,-2.15,-5.36,,,,468.27,Dapingian,470.08
2441,468.19,56.0,Pinesburg,-2.72,-4.97,,,,468.19,Dapingian,470.03
2444,467.95,62.0,Pinesburg,-1.64,-7.82,,,,467.95,Dapingian,469.86
2447,467.7,68.0,Pinesburg,-2.2,-4.16,,,,467.7,Dapingian,469.69
2449,467.46,72.0,Pinesburg,-1.48,-6.83,,,,467.46,Dapingian,469.53
2450,467.39,74.0,Pinesburg,-1.79,-4.18,-30.05,28.57,0.039,467.39,Dapingian,469.48
2453,467.19,80.0,Pinesburg,-3.96,-4.33,,,,467.19,Darriwilian,469.28
2456,466.99,86.0,Pinesburg,-1.35,-4.36,,,,466.99,Darriwilian,469.03
2457,466.92,88.0,Pinesburg,-2.68,-4.06,,,,466.92,Darriwilian,468.94
2460,466.72,94.0,Pinesburg,-4.92,-3.55,,,,466.72,Darriwilian,468.69
2462,466.58,98.0,Pinesburg,-3.8,-5.01,,,,466.58,Darriwilian,468.51
2463,466.51,100.0,Pinesburg,-4.37,-4.57,,,,466.51,Darriwilian,468.42
2466,466.24,106.0,Pinesburg,-5.22,-4.53,,,,466.24,Darriwilian,468.08
2468,465.96,110.0,Pinesburg,-4.2,-4.38,,,,465.96,Darriwilian,467.73
2469,465.83,112.0,Pinesburg,-3.54,-4.86,,,,465.83,Darriwilian,467.56
2470,465.69,114.0,Pinesburg,-4.22,-4.5,,,,465.69,Darriwilian,467.39
2473,465.28,120.0,Pinesburg,-3.46,-6.73,,,,465.28,Darriwilian,466.87
2474,465.14,122.0,Pinesburg,-2.71,-3.73,,,,465.14,Darriwilian,466.69
2476,464.87,126.0,Pinesburg,-3.35,-4.73,,,,464.87,Darriwilian,466.35
2477,464.73,128.0,Pinesburg,-1.13,-4.42,,,,464.73,Darriwilian,466.17
