SampleID,Meter,d44Ca,d13C,fluid_diag,alter
M-0109,13,-0.93,-0.43,0.2,69
M-0111,16,-1.11,-0.32,0.45,50
M-0126,38.5,-1,-0.4,0.3,61
M-0128,41.5,-1.07,-0.92,0.6,51
M-0134,50.5,-1.12,-1.12,0.7,45
M-0151,76,,,,
M-0154,80.5,-1.19,-1.76,0.9,38
M-0164,95.5,-1.15,-1.36,0.75,42
M-0182,122.5,-1.28,0.46,0.2,32
M-0191,136,,-0.51,,
M-0207,160,-1.31,0.32,0.4,30
M-0231,196,-1.36,,,
M-0235,202,,0.7,,
M-0253,229,-1.34,-0.1,0.7,26
M-0255,232,-1.25,-0.34,0.6,39
M-0261,241,-1.25,0.47,0.15,35
M-0269,251.5,-1.04,-1.87,0.75,53
M-0271,254.5,-1.07,-1.74,0.75,52
M-0278,265,-1.08,-2.12,0.8,49
