Std_id,Date,d44Ca915a,d44Casw
915a_1,11/5/2022,0.038369225,-1.841630775
915a_2,11/5/2022,-0.026790848,-1.906790848
915a_3,11/6/2022,-0.011578377,-1.891578377
915a_1,11/17/2022,0.042552173,-1.837447827
915a_2,11/17/2022,-0.038878534,-1.918878534
915a_3,11/19/2022,-0.003673639,-1.883673639
915a_1,12/8/2021,-0.0171774,-1.8971774
915a_2,12/9/2021,0.052583567,-1.827416433
915a_3,12/9/2021,-0.035406166,-1.915406166
915a_1,1/17/2023,-0.05243149,-1.93243149
915a_2,1/17/2023,-0.014338882,-1.894338882
915a_3,1/19/2023,0.063395338,-1.816604662
915a_1,9/5/2023,-0.055981671,-1.935981671
915a_2,9/5/2023,0.001399225,-1.878600775
915a_3,9/6/2023,0.054582445,-1.825417555
