depth,meter,stage,formation,d13c,d18o,age,Stage
106.8,84.95,Nabala,Paekna,-0.29,-5.59,452.5,Katian
108.45,83.3,Rakvere,Rägavere,-0.28,-5.1,452.6,Katian
110.8,80.95,Rakvere,Rägavere,-0.24,-5.44,452.8,Katian
111.7,80.05,Rakvere,Rägavere,-0.5,-5.97,452.9,Katian
113.5,78.25,Rakvere,Rägavere,0,-5.56,453.0,Sandbian
116.2,75.55,Rakvere,Rägavere,0.86,-4.1,453.3,Sandbian
117.7,74.05,Rakvere,Rägavere,0.88,-3.85,453.4,Sandbian
118.85,72.9,Rakvere,Rägavere,1.33,-4.42,453.5,Sandbian
119.9,71.85,Rakvere,Rägavere,0.66,-3.45,453.6,Sandbian
120.9,70.85,Rakvere,Rägavere,0.99,-4.97,453.7,Sandbian
121.7,70.05,Rakvere,Rägavere,0.7,-4.74,453.7,Sandbian
122.1,69.65,Oandu,Rägavere,-0.47,-3.02,453.8,Sandbian
122.3,69.45,Oandu,Hirmuse,0.34,-3.93,453.8,Sandbian
122.7,69.05,Keila,Kahula,0.36,-4.5,453.8,Sandbian
123,68.75,Keila,Kahula,0.27,-4.99,453.8,Sandbian
125,66.75,Keila,Kahula,-0.18,-5.03,454.0,Sandbian
127.7,64.05,Keila,Kahula,0.22,-5.38,454.2,Sandbian
129.6,62.15,Keila,Kahula,0.09,-5.06,454.4,Sandbian
131.4,60.35,Keila,Kahula,0.3,-4.82,454.5,Sandbian
133.2,58.55,Keila,Kahula,0.11,-3.82,454.7,Sandbian
133.6,58.15,Keila,Kahula,0.22,-4.38,454.7,Sandbian
135,56.75,Keila,Kahula,0.25,-4.51,454.8,Sandbian
137.4,54.35,Haljala,Kahula,0.26,-4.42,455.1,Sandbian
138.2,53.55,Haljala,Kahula,0.23,-4.24,455.2,Sandbian
140.2,51.55,Haljala,Kahula,-0.29,-4.29,455.5,Sandbian
142,49.75,Haljala,Kahula,-0.47,-4.03,455.7,Sandbian
143.7,48.05,Haljala,Kahula,-0.92,-4.98,455.9,Sandbian
144.7,47.05,Haljala,Tartuse,-0.8,-5.24,456.0,Sandbian
145.5,46.25,Haljala,Tartuse,-1.13,-4.98,456.2,Sandbian
146.15,45.6,Kukruse,Viivikonna,-1.58,-5.74,456.3,Sandbian
148,43.75,Kukruse,Viivikonna,-1.35,-3.52,456.5,Sandbian
149.05,42.7,Kukruse,Viivikonna,-1.24,-4.76,456.6,Sandbian
152.7,39.05,Kukruse,Viivikonna,-0.9,-4.81,456.9,Sandbian
154.75,37,Kukruse,Viivikonna,-0.9,-5.41,457.1,Sandbian
156.7,35.05,Kukruse,Viivikonna,-0.9,-4.88,457.3,Sandbian
158.7,33.05,Kukruse,Viivikonna,-0.76,-6.18,457.5,Sandbian
160.55,31.2,Kukruse,Viivikonna,-0.66,-5.44,457.7,Sandbian
162.45,29.3,Kukruse,Viivikonna,-0.92,-4.82,457.9,Sandbian
162.65,29.1,Kukruse,Viivikonna,-0.83,-5.12,458.1,Sandbian
162.8,28.95,Kukruse,Viivikonna,-0.87,-5.57,458.1,Sandbian
163.03,28.72,Kukruse,Viivikonna,-1.04,-4.31,458.3,Sandbian
163.3,28.45,Kukruse,Viivikonna,-1.1,-4.32,458.5,Darriwilian
164.8,26.95,Uhaku,Kõrgekallas,-0.74,-4.31,459.4,Darriwilian
166.55,25.2,Uhaku,Kõrgekallas,-0.46,-4.52,460.5,Darriwilian
168.45,23.3,Uhaku,Kõrgekallas,-0.22,-4.18,460.9,Darriwilian
170.3,21.45,Uhaku,Kõrgekallas,0.1,-4.76,461.2,Darriwilian
171.2,20.55,Uhaku/Lasnam.,Väo,0.12,-5.26,461.4,Darriwilian
172.3,19.45,Uhaku/Lasnam.,Väo,0.42,-4.96,461.5,Darriwilian
174.1,17.65,Uhaku/Lasnam.,Väo,0.55,-5.13,461.9,Darriwilian
176.1,15.65,Uhaku/Lasnam.,Väo,0.77,-5.42,462.2,Darriwilian
177.55,14.2,Aseri,Kandle,0.91,-4.82,462.5,Darriwilian
177.95,13.8,Aseri,Kandle,1.19,-5.16,462.6,Darriwilian
178.45,13.3,Aseri,Kandle,1.04,-5.53,462.7,Darriwilian
178.9,12.85,Aseri,Kandle,1.13,-5.78,462.8,Darriwilian
179.35,12.4,Aseri,Kandle,0.9,-5.1,462.9,Darriwilian
179.9,11.85,Aseri,Kandle,1.1,-5.26,463.0,Darriwilian
180.4,11.35,Aseri,Kandle,1.11,-5.16,463.2,Darriwilian
180.9,10.85,Aseri,Kandle,0.7,-5.09,463.3,Darriwilian
181.4,10.35,Kunda,Loobu,0.71,-5.02,463.4,Darriwilian
181.85,9.9,Kunda,Loobu,0.75,-5.18,463.5,Darriwilian
182.5,9.25,Kunda,Loobu,0.43,-5.98,463.7,Darriwilian
183,8.75,Kunda,Loobu,0.66,-5.37,463.8,Darriwilian
183.5,8.25,Kunda,Loobu,0.19,-5.46,464.0,Darriwilian
